;;;;;;;;;;;;;;;;
WKN;ISIN;Kategorie;Branche;Wertpapiertyp;Nennwert;Ranking als Zertifikate-Ampel;Anzahl Kurse;Neuberechnung der PeerGroup deaktiviert;berechnetes Risiko;eingestelltes Risiko;eingestelltes Risiko nicht durch Updates überschreiben;DSER geprüft;Freigegeben für Hausmeinungen;Kupon;Emissionsdatum;erster Kupontermin
;Name;Währung;Land;versteckt für munio-Suche;Zinsmethode;ausschüttend;Anleihenformeln für Rendite verwenden;Kursverlängerung durch Peergroup deaktiviert;berechnete Rendite;eingestellte Rendite;eingestellte Rendite nicht durch Updates überschreiben;DSER geprüft bis Datum;Freigegeben für Hausmeinungen bis;Anz. Kupon-Zahlungspunkte/Jahr;letzter Kupontermin;Laufzeit
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-38.412,4122 %;;;;;;;
CZ9JW1;DE000CZ9JW10;Zertifikate;;[NONE];;;6;FALSE;99,9548 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-38.503,739 %;;;;;;;
CZ9JW6;DE000CZ9JW69;Zertifikate;;[NONE];;;21;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;6,6098 %;;;;;;;
CZ9JW7;DE000CZ9JW77;Zertifikate;;[NONE];;;22;FALSE;62,1019 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;8,0565 %;;;;;;;
CZ9JW8;DE000CZ9JW85;Zertifikate;;[NONE];;;22;FALSE;62,7211 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;9,6712 %;;;;;;;
CZ9JW9;DE000CZ9JW93;Zertifikate;;[NONE];;;22;FALSE;63,5946 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;8,119 %;;;;;;;
CZ9JWA;DE000CZ9JWA2;Zertifikate;;[NONE];;;22;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;8,8834 %;;;;;;;
CZ9JWK;DE000CZ9JWK1;Zertifikate;;[NONE];;;1;FALSE;0,0 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;0,0 %;;;;;;;
CZ9JWN;DE000CZ9JWN5;Zertifikate;;[NONE];;;38;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 13.11.2013;EUR;;FALSE;;FALSE;;FALSE;11,7917 %;;;;;;;
CZ9JWP;DE000CZ9JWP0;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;7,2951 %;;;;;;;
CZ9JWQ;DE000CZ9JWQ8;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;7,7423 %;;;;;;;
CZ9JWR;DE000CZ9JWR6;Zertifikate;;[NONE];;;61;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;8,2904 %;;;;;;;
CZ9JWS;DE000CZ9JWS4;Zertifikate;;[NONE];;;60;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;8,2291 %;;;;;;;
CZ9JWT;DE000CZ9JWT2;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;9,6986 %;;;;;;;
CZ9JWZ;DE000CZ9JWZ9;Zertifikate;;[NONE];;;169;FALSE;99,9941 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 18.06.2014;EUR;;FALSE;;FALSE;;FALSE;-55,1481 %;;;;;;;
CZ9JX0;DE000CZ9JX01;Zertifikate;;[NONE];;;172;FALSE;99,9942 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 18.06.2014;EUR;;FALSE;;FALSE;;FALSE;-55,2065 %;;;;;;;
CZ9JX1;DE000CZ9JX19;Zertifikate;;[NONE];;;22;FALSE;68,9311 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out SX5E 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;-3,5928 %;;;;;;;
CZ9JX2;DE000CZ9JX27;Zertifikate;;[NONE];;;22;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out SX5E 16.10.2013;EUR;;FALSE;;FALSE;;FALSE;8,2883 %;;;;;;;
CZ9K0B;DE000CZ9K0B4;Zertifikate;;[NONE];;;61;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX/XDAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;8,6301 %;;;;;;;
CZ9K0C;DE000CZ9K0C2;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX/XDAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;9,283 %;;;;;;;
CZ9K0D;DE000CZ9K0D0;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX/XDAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;10,1084 %;;;;;;;
CZ9K0F;DE000CZ9K0F5;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX/XDAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;12,5318 %;;;;;;;
CZ9K0N;DE000CZ9K0N9;Zertifikate;;[NONE];;;28;FALSE;96,0487 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX/XDAX 19.03.2014;EUR;;FALSE;;FALSE;;FALSE;-16,0889 %;;;;;;;
CZ9K08;DE000CZ9K081;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX/XDAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;7,1006 %;;;;;;;
CZ9K09;DE000CZ9K099;Zertifikate;;[NONE];;;62;FALSE;61,8455 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX/XDAX 18.12.2013;EUR;;FALSE;;FALSE;;FALSE;7,54 %;;;;;;;
CZ17GG;DE000CZ17GG6;Zertifikatefonds;;[NONE];;;59;FALSE;56,5947 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Knock-Out DAX 19.12.2012;EUR;;FALSE;;FALSE;;FALSE;-213,9583 %;;;;;;;19.12.2012
CZ92U2;DE000CZ92U28;Zertifikate;;[NONE];;;63;FALSE;5,6408 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 30.12.2013;EUR;;FALSE;;FALSE;;FALSE;0,7159 %;;;;;;;
CZ92U6;DE000CZ92U69;Zertifikate;;[NONE];;;63;FALSE;7,2667 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 30.12.2013;EUR;;FALSE;;FALSE;;FALSE;0,9893 %;;;;;;;
CZ92UB;DE000CZ92UB1;Zertifikate;;[NONE];;;63;FALSE;34,022 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 30.12.2013;EUR;;FALSE;;FALSE;;FALSE;2,2298 %;;;;;;;
CZ92UD;DE000CZ92UD7;Zertifikate;;[NONE];;;63;FALSE;36,3993 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 30.12.2013;EUR;;FALSE;;FALSE;;FALSE;3,245 %;;;;;;;
CZ92UG;DE000CZ92UG0;Zertifikate;;[NONE];;;63;FALSE;15,6639 %;;;FALSE;Nicht geprüft;;;
;Commerzbank Bonus Zert NOK1V 30.12.2013;EUR;;FALSE;;FALSE;;FALSE;5,7177 %;;;;;;;
CZ92UH;DE000CZ92UH8;Zertifikate;;[NONE];;;63;FALSE;33,9616 %;;;FALSE;Nicht geprüft;;;
